,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,0.00,,,3.00,18.00,18.00,18.00,126.00,136.00,175.00,26.00,166.00,255.00,247.00,127.00,0.00,0.00,0.00,0.00
,,,,30.00,36.00,94.00,154.00,170.00,253.00,253.00,253.00,253.00,253.00,225.00,172.00,253.00,242.00,195.00,64.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,49.00,238.00,253.00,253.00,253.00,253.00,253.00,253.00,253.00,253.00,251.00,93.00,82.00,82.00,56.00,39.00,,,,,
0.00,0.00,0.00,18.00,219.00,253.00,253.00,253.00,253.00,253.00,198.00,182.00,247.00,241.00,,,,,,,,,,
0.00,0.00,0.00,0.00,80.00,156.00,107.00,253.00,253.00,205.00,11.00,,43.00,154.00,,,,,,,,,,
,,,,,14.00,1.00,154.00,253.00,90.00,,,,,,,,,,,,,,
,,,,,,,139.00,253.00,190.00,2.00,,,,,,,,,,,,,
,,,,,,,11.00,190.00,253.00,70.00,,,,,,,,,,,,,
,,,,,,,,35.00,241.00,225.00,160.00,108.00,1.00,0.00,0.00,,,,,,,,
,,,,,,,,,81.00,240.00,253.00,253.00,119.00,25.00,0.00,,,,,,,,
,,,,,,,,,,45.00,186.00,253.00,253.00,150.00,27.00,,,,,,,,
,,,,,,,,,,,16.00,93.00,252.00,253.00,187.00,0.00,,,,,,,
,,,,,,,,,,,,,249.00,253.00,249.00,64.00,,,,,,,
,,,,,0.00,0.00,0.00,0.00,0.00,46.00,130.00,183.00,253.00,253.00,207.00,2.00,,,,,,,
,,,,,0.00,0.00,0.00,39.00,148.00,229.00,253.00,253.00,253.00,250.00,182.00,,,,,,,,
,,,,,0.00,24.00,114.00,221.00,253.00,253.00,253.00,253.00,201.00,78.00,,,,,,,,,
0.00,0.00,0.00,0.00,23.00,66.00,213.00,253.00,253.00,253.00,253.00,198.00,81.00,2.00,,,,,,,,,,
0.00,0.00,18.00,171.00,219.00,253.00,253.00,253.00,253.00,195.00,80.00,9.00,,,,,,,,,,,,
55.00,172.00,226.00,253.00,253.00,253.00,253.00,244.00,133.00,11.00,,,,,,,,,,,,,,
136.00,253.00,253.00,253.00,212.00,135.00,132.00,16.00,0.00,,,,,,,,,,,,,,,
